project_id,mp_constituency,state,work_category,units,unit_type,contractor_id,sanctioned_cost_inr,regional_baseline_cost_inr,recommended_date,sanction_date,start_date,completion_certified_date,fund_release_date,planned_duration_days,latitude,longitude,_ground_truth_is_anomalous,_ground_truth_anomaly_type
MPLAD-00040,Patna Sahib,Bihar,School Building Repair,2.4,unit,CTR-0087,2081673.79,2160000.0,2024-05-13,2024-06-29,2024-07-09,2025-02-13,2025-03-14,202,25.1521,85.5519,False,
MPLAD-00041,Madurai,Tamil Nadu,Road Construction,0.6,km,CTR-0167,438247.59,510000.0,2022-02-11,2022-03-17,2022-04-06,2022-05-25,2022-05-27,52,11.064,77.818,False,
MPLAD-00042,Patna Sahib,Bihar,Health Sub-Centre,2.01,unit,CTR-0043,7326822.56,6432000.0,2022-12-02,2023-01-25,2023-02-05,2024-05-04,2024-05-18,402,25.6758,85.508,False,
MPLAD-00043,Kanpur,Uttar Pradesh,Drainage System,2.23,km,CTR-0071,2546637.68,2453000.0,2023-09-10,2023-10-10,2023-11-20,2024-01-06,2024-01-06,207,26.8327,81.0615,True,ghost_project
MPLAD-00044,Gaya,Bihar,Health Sub-Centre,1.73,unit,CTR-0211,5425595.66,5536000.0,2024-07-30,2024-09-02,2024-10-04,2025-08-03,2025-08-31,313,26.0655,84.8701,False,
MPLAD-00045,Madurai,Tamil Nadu,Street Lighting,1.66,unit,CTR-0124,819997.12,747000.0,2023-10-23,2023-12-08,2023-12-18,2024-02-08,2024-03-02,52,10.7439,78.0647,False,
MPLAD-00046,Patna Sahib,Bihar,School Building Repair,1.74,unit,CTR-0008,1483791.66,1566000.0,2023-12-28,2024-02-14,2024-03-11,2024-07-26,2024-08-07,136,25.6558,85.1166,False,
MPLAD-00047,Coimbatore,Tamil Nadu,Community Hall,2.4,unit,CTR-0143,6343096.81,6000000.0,2024-10-02,2024-12-13,2024-12-19,2025-12-22,2025-12-31,393,10.9044,77.8433,False,
MPLAD-00048,Jaipur Rural,Rajasthan,Drinking Water Supply,1.83,unit,CTR-0142,2146921.91,2196000.0,2023-11-09,2024-01-08,2024-02-11,2024-06-13,2024-06-24,122,26.6305,76.0213,False,
MPLAD-00049,Kota,Rajasthan,Drainage System,2.23,km,CTR-0196,2226005.0,2453000.0,2023-07-21,2023-10-19,2023-11-26,2024-09-05,2024-09-06,250,27.2326,75.5962,False,
MPLAD-00050,Nalgonda,Telangana,Drinking Water Supply,1.84,unit,CTR-0182,2058503.82,2208000.0,2023-08-22,2023-09-22,2023-11-06,2024-04-17,2024-05-13,131,17.0026,78.0123,False,
MPLAD-00051,Jaipur Rural,Rajasthan,School Building Repair,0.96,unit,CTR-0088,747716.85,864000.0,2024-09-05,2024-10-04,2024-10-13,2025-01-11,2025-01-10,85,26.92,75.82,True,geo_clustering
MPLAD-00052,Nagpur,Maharashtra,Health Sub-Centre,0.71,unit,CTR-0078,2100366.96,2272000.0,2024-05-02,2024-06-14,2024-07-22,2024-12-11,2025-01-03,135,18.8974,72.9885,False,
MPLAD-00053,Nagpur,Maharashtra,Street Lighting,2.02,unit,CTR-0016,974472.35,909000.0,2023-03-02,2023-04-13,2023-05-04,2023-07-25,2023-07-30,71,19.12,72.92,True,geo_clustering
MPLAD-00054,Jaipur Rural,Rajasthan,School Building Repair,1.98,unit,CTR-0177,1670407.22,1782000.0,2023-08-03,2023-10-15,2023-10-24,2024-04-09,2024-04-20,143,27.1878,75.9251,False,
MPLAD-00055,Gaya,Bihar,Community Hall,1.86,unit,CTR-0030,4855950.44,4650000.0,2022-10-19,2022-11-12,2022-11-20,2023-10-02,2023-10-16,327,25.695,85.4242,False,
MPLAD-00056,Warangal,Telangana,School Building Repair,2.25,unit,CTR-0078,4294000.72,2025000.0,2024-10-08,2024-12-18,2024-12-28,2025-07-16,2025-08-07,176,17.6345,78.6037,True,cost_inflation
MPLAD-00057,Bhubaneswar,Odisha,Drainage System,1.97,km,CTR-0148,1855436.62,2167000.0,2023-07-06,2023-10-02,2023-10-09,2024-07-02,2024-07-08,222,20.2705,85.9515,False,
MPLAD-00058,Nagpur,Maharashtra,Community Hall,2.09,unit,CTR-0112,5212030.19,5225000.0,2023-12-14,2024-02-19,2024-03-16,2025-01-08,2025-01-09,290,19.4577,72.7298,False,
MPLAD-00059,Pune,Maharashtra,Drinking Water Supply,2.53,unit,CTR-0103,9159959.56,3036000.0,2023-10-07,2023-11-23,2023-12-18,2024-05-13,2024-06-02,156,19.4649,73.2249,True,cost_inflation
MPLAD-00060,Gaya,Bihar,School Building Repair,0.97,unit,CTR-0014,836800.01,873000.0,2024-06-24,2024-07-15,2024-08-02,2024-10-22,2024-10-25,81,26.0277,85.0381,False,
MPLAD-00061,Nalgonda,Telangana,Road Construction,2.02,km,CTR-0162,1582712.12,1717000.0,2022-01-29,2022-04-24,2022-05-25,2022-11-01,2022-11-03,171,17.3614,78.1175,False,
MPLAD-00062,Cuttack,Odisha,School Building Repair,1.23,unit,CTR-0184,1175217.2,1107000.0,2024-09-15,2024-11-29,2024-12-19,2025-03-30,2025-04-03,94,20.1836,86.2219,False,
MPLAD-00063,Bhubaneswar,Odisha,Community Hall,1.19,unit,CTR-0018,3233830.52,2975000.0,2024-11-05,2024-12-24,2024-12-29,2025-07-01,2025-07-15,182,20.6375,85.8799,False,
MPLAD-00064,Secunderabad,Telangana,Health Sub-Centre,1.36,unit,CTR-0124,4419783.38,4352000.0,2024-07-21,2024-09-15,2024-10-02,2025-09-01,2025-09-11,259,17.4718,78.2336,False,
MPLAD-00065,Patna Sahib,Bihar,Road Construction,1.68,km,CTR-0191,1605113.48,1428000.0,2022-11-08,2023-01-25,2023-02-01,2023-06-26,2023-07-12,153,25.9697,85.4742,False,
MPLAD-00066,Cuttack,Odisha,Street Lighting,0.54,unit,CTR-0117,217058.93,243000.0,2022-11-13,2022-12-07,2023-01-11,2023-02-01,2023-02-12,18,20.1386,85.9927,False,
MPLAD-00067,Patna Sahib,Bihar,Health Sub-Centre,2.19,unit,CTR-0219,7078687.55,7008000.0,2024-09-26,2024-12-19,2024-12-26,2026-06-14,2026-06-24,467,25.7312,85.5209,False,
MPLAD-00068,Warangal,Telangana,Drainage System,2.4,km,CTR-0026,2801481.54,2640000.0,2022-12-07,2023-01-29,2023-02-04,2023-08-27,2023-08-25,223,17.42,78.52,True,geo_clustering
MPLAD-00069,Gaya,Bihar,Street Lighting,2.2,unit,CTR-0145,894976.9,990000.0,2024-02-23,2024-04-08,2024-05-14,2024-07-31,2024-08-04,62,25.3322,85.2379,False,
MPLAD-00070,Nalgonda,Telangana,Drainage System,1.66,km,CTR-0206,1709664.63,1826000.0,2022-06-01,2022-08-11,2022-09-07,2023-04-22,2023-05-06,176,17.5389,78.4243,False,
MPLAD-00071,Varanasi,Uttar Pradesh,Health Sub-Centre,3.0,unit,CTR-0051,10617606.12,9600000.0,2024-02-21,2024-05-19,2024-06-15,2026-01-04,2026-01-17,503,26.3219,81.23,False,
MPLAD-00072,Nagpur,Maharashtra,Road Construction,2.45,km,CTR-0176,2378383.36,2082500.0,2024-10-14,2024-12-04,2024-12-23,2025-10-13,2025-10-30,258,18.819,72.5901,False,
MPLAD-00073,Coimbatore,Tamil Nadu,Health Sub-Centre,2.6,unit,CTR-0175,8640107.27,8320000.0,2022-03-22,2022-05-15,2022-06-17,2023-10-30,2023-11-17,548,11.2324,77.6901,False,
MPLAD-00074,Gaya,Bihar,Drainage System,1.0,km,CTR-0045,1194549.23,1100000.0,2024-01-20,2024-04-11,2024-05-18,2024-10-11,2024-10-16,116,25.357,85.4247,False,
MPLAD-00075,Varanasi,Uttar Pradesh,Health Sub-Centre,2.68,unit,CTR-0192,9358729.48,8576000.0,2022-06-04,2022-07-07,2022-07-26,2024-04-09,2024-04-29,501,27.2673,81.2046,False,
MPLAD-00076,Gaya,Bihar,Health Sub-Centre,1.16,unit,CTR-0004,11276791.64,3712000.0,2023-06-21,2023-09-18,2023-10-17,2024-07-01,2024-07-19,210,25.2083,84.8338,True,cost_inflation
MPLAD-00077,Patna Sahib,Bihar,Street Lighting,1.05,unit,CTR-0157,410586.02,472500.0,2023-09-11,2023-11-17,2023-11-29,2023-12-08,2023-12-09,35,25.4044,85.0926,True,ghost_project
MPLAD-00078,Jaipur Rural,Rajasthan,School Building Repair,2.18,unit,CTR-0095,2105112.28,1962000.0,2024-05-08,2024-08-06,2024-08-20,2025-04-17,2025-04-18,192,27.2337,75.9157,False,
MPLAD-00079,Nalgonda,Telangana,Drinking Water Supply,1.43,unit,CTR-0177,1686853.61,1716000.0,2024-01-13,2024-02-09,2024-03-08,2024-06-27,2024-07-14,100,16.9606,78.2759,False,
MPLAD-00080,Bhubaneswar,Odisha,Health Sub-Centre,0.73,unit,CTR-0117,2134243.76,2336000.0,2022-02-13,2022-03-06,2022-04-01,2022-08-21,2022-08-24,143,20.587,85.5052,False,
MPLAD-00081,Kanpur,Uttar Pradesh,Street Lighting,2.67,unit,CTR-0209,1139704.29,1201500.0,2022-01-06,2022-02-25,2022-03-11,2022-06-16,2022-07-15,75,26.5507,80.5745,False,
MPLAD-00082,Secunderabad,Telangana,Road Construction,2.47,km,CTR-0058,1934436.22,2099500.0,2022-12-23,2023-02-09,2023-02-17,2023-09-15,2023-10-06,221,17.4261,78.7457,False,
MPLAD-00083,Nagpur,Maharashtra,Street Lighting,1.63,unit,CTR-0028,672227.02,733500.0,2024-12-03,2025-01-25,2025-02-28,2025-04-29,2025-04-25,52,18.6608,72.879,False,
MPLAD-00084,Warangal,Telangana,Drainage System,0.68,km,CTR-0114,653929.38,748000.0,2022-05-15,2022-06-15,2022-07-07,2022-09-28,2022-10-28,73,17.6122,78.3809,False,
MPLAD-00085,Jaipur Rural,Rajasthan,Drinking Water Supply,2.01,unit,CTR-0130,2121965.53,2412000.0,2023-03-17,2023-05-26,2023-06-28,2023-12-11,2024-01-01,133,26.7389,75.7535,False,
MPLAD-00086,Patna Sahib,Bihar,Road Construction,1.28,km,CTR-0110,1007996.03,1088000.0,2024-08-29,2024-09-21,2024-10-01,2025-03-17,2025-03-17,136,25.5319,85.3446,False,
MPLAD-00087,Kota,Rajasthan,Community Hall,1.97,unit,CTR-0016,5015993.93,4925000.0,2022-09-08,2022-11-14,2022-12-11,2023-12-13,2024-01-04,294,27.2681,76.0211,False,
MPLAD-00088,Varanasi,Uttar Pradesh,Street Lighting,0.76,unit,CTR-0091,342760.53,342000.0,2024-09-14,2024-10-27,2024-11-07,2024-11-27,2024-12-27,20,26.6676,81.1626,False,
MPLAD-00089,Gaya,Bihar,Health Sub-Centre,1.9,unit,CTR-0217,6567796.94,6080000.0,2022-02-23,2022-04-13,2022-04-19,2023-04-14,2023-04-28,371,26.0215,84.951,False,
MPLAD-00090,Nagpur,Maharashtra,Community Hall,1.5,unit,CTR-0169,3347108.99,3750000.0,2022-03-04,2022-03-30,2022-05-07,2023-01-03,2023-01-24,245,19.0536,72.5574,False,
MPLAD-00091,Madurai,Tamil Nadu,Drinking Water Supply,1.99,unit,CTR-0146,2662626.34,2388000.0,2022-04-12,2022-05-07,2022-05-29,2022-09-26,2022-10-18,112,10.9857,78.042,False,
MPLAD-00092,Kota,Rajasthan,Health Sub-Centre,1.36,unit,CTR-0030,3843977.69,4352000.0,2024-09-23,2024-12-14,2025-01-07,2025-09-10,2025-09-30,269,27.3844,75.3548,False,
MPLAD-00093,Madurai,Tamil Nadu,Community Hall,2.41,unit,CTR-0036,5644425.69,6025000.0,2024-10-15,2024-12-24,2025-01-09,2025-11-25,2025-12-24,337,11.2037,78.1003,False,
MPLAD-00094,Patna Sahib,Bihar,Health Sub-Centre,1.49,unit,CTR-0019,5114215.91,4768000.0,2024-07-30,2024-08-23,2024-09-17,2025-07-25,2025-07-14,276,25.8095,85.0177,True,payment_timing
MPLAD-00095,Secunderabad,Telangana,Drinking Water Supply,1.65,unit,CTR-0159,2092628.36,1980000.0,2024-06-13,2024-07-11,2024-07-31,2024-11-14,2024-12-04,99,17.424,78.3958,False,
MPLAD-00096,Kanpur,Uttar Pradesh,Drinking Water Supply,0.92,unit,CTR-0071,1107472.06,1104000.0,2024-11-10,2024-12-19,2025-01-15,2025-03-09,2025-03-13,51,26.5363,80.5464,False,
MPLAD-00097,Madurai,Tamil Nadu,Health Sub-Centre,0.69,unit,CTR-0168,2506935.91,2208000.0,2024-08-08,2024-11-03,2024-12-15,2025-05-08,2025-05-23,134,11.02,78.12,True,geo_clustering
MPLAD-00098,Jaipur Rural,Rajasthan,Road Construction,2.08,km,CTR-0114,1925173.26,1768000.0,2023-12-22,2024-03-10,2024-03-19,2024-10-10,2024-11-02,201,26.4376,75.6687,False,
MPLAD-00099,Bhubaneswar,Odisha,Drainage System,0.73,km,CTR-0219,825663.83,803000.0,2022-03-26,2022-06-06,2022-07-17,2022-10-10,2022-10-25,74,20.405,85.8014,False,
MPLAD-00100,Warangal,Telangana,School Building Repair,1.36,unit,CTR-0215,1302696.67,1224000.0,2022-12-20,2023-01-09,2023-01-29,2023-06-04,2023-06-27,107,17.4241,78.6098,False,
MPLAD-00101,Gaya,Bihar,Drinking Water Supply,2.44,unit,CTR-0105,3085143.76,2928000.0,2023-11-17,2023-12-10,2024-01-05,2024-05-08,2024-05-27,133,25.3841,85.3237,False,
MPLAD-00102,Bhubaneswar,Odisha,Street Lighting,1.33,unit,CTR-0039,613355.88,598500.0,2023-12-18,2024-02-10,2024-03-11,2024-04-14,2024-04-14,36,20.1096,85.6767,False,
MPLAD-00103,Secunderabad,Telangana,Health Sub-Centre,2.87,unit,CTR-0213,10553786.56,9184000.0,2022-07-11,2022-09-18,2022-10-25,2024-07-18,2024-08-05,605,17.2089,78.9512,False,
MPLAD-00104,Jaipur Rural,Rajasthan,Health Sub-Centre,1.07,unit,CTR-0050,3051707.13,3424000.0,2022-07-27,2022-10-14,2022-11-22,2023-06-28,2023-07-26,177,26.4377,75.6368,False,
MPLAD-00105,Nagpur,Maharashtra,Community Hall,0.89,unit,CTR-0097,2011964.68,2225000.0,2022-12-06,2023-02-15,2023-02-22,2023-07-28,2023-08-07,147,19.5696,73.0106,False,
MPLAD-00106,Jaipur Rural,Rajasthan,Health Sub-Centre,1.84,unit,CTR-0060,5551444.09,5888000.0,2024-08-18,2024-09-26,2024-10-24,2026-01-09,2026-02-01,378,26.8617,75.5818,False,
MPLAD-00107,Gaya,Bihar,Street Lighting,2.54,unit,CTR-0042,1246301.79,1143000.0,2023-05-28,2023-06-18,2023-07-23,2023-10-19,2023-11-18,71,26.0343,85.3114,False,
MPLAD-00108,Varanasi,Uttar Pradesh,Road Construction,2.41,km,CTR-0022,1908868.89,2048500.0,2022-10-29,2023-01-07,2023-01-17,2023-12-06,2023-12-15,253,27.1167,81.2846,False,
MPLAD-00109,Nalgonda,Telangana,School Building Repair,1.76,unit,CTR-0102,1458441.74,1584000.0,2024-02-07,2024-03-21,2024-03-27,2024-09-05,2024-09-06,158,17.7392,78.65,False,
MPLAD-00110,Nalgonda,Telangana,Community Hall,2.79,unit,CTR-0074,6917361.95,6975000.0,2024-08-18,2024-10-29,2024-12-12,2026-02-18,2026-02-18,480,17.42,78.52,True,geo_clustering
MPLAD-00111,Nagpur,Maharashtra,Drainage System,1.56,km,CTR-0136,1858173.67,1716000.0,2022-09-07,2022-09-28,2022-10-18,2023-03-28,2023-04-21,151,18.6628,73.2367,False,
MPLAD-00112,Nalgonda,Telangana,Street Lighting,1.79,unit,CTR-0162,743139.35,805500.0,2024-05-29,2024-06-13,2024-07-27,2024-09-16,2024-10-07,49,17.0873,78.6682,False,
MPLAD-00113,Warangal,Telangana,Drinking Water Supply,1.77,unit,CTR-0140,2435164.82,2124000.0,2024-03-10,2024-05-24,2024-05-31,2024-10-08,2024-10-26,113,17.1537,78.0162,False,
MPLAD-00114,Kanpur,Uttar Pradesh,Drinking Water Supply,0.76,unit,CTR-0161,934408.75,912000.0,2022-10-01,2022-10-21,2022-11-17,2023-01-11,2023-01-17,50,27.1304,81.0847,False,
MPLAD-00115,Pune,Maharashtra,School Building Repair,2.53,unit,CTR-0047,1978553.98,2277000.0,2024-07-26,2024-08-14,2024-09-06,2025-04-03,2025-04-10,214,19.4858,72.7156,False,
MPLAD-00116,Bhubaneswar,Odisha,School Building Repair,1.68,unit,CTR-0140,1301811.18,1512000.0,2023-08-09,2023-10-08,2023-10-16,2024-04-03,2024-04-19,137,20.0732,86.0993,False,
MPLAD-00117,Coimbatore,Tamil Nadu,School Building Repair,1.35,unit,CTR-0099,1100844.88,1215000.0,2024-01-23,2024-04-13,2024-05-05,2024-09-17,2024-10-09,111,10.5789,78.2025,False,
MPLAD-00118,Varanasi,Uttar Pradesh,Street Lighting,0.76,unit,CTR-0083,324344.58,342000.0,2024-07-02,2024-09-09,2024-09-24,2024-10-18,2024-11-04,21,26.7471,81.1268,False,
MPLAD-00119,Gaya,Bihar,Street Lighting,2.1,unit,CTR-0071,1027633.96,945000.0,2024-04-11,2024-06-11,2024-07-18,2024-09-25,2024-09-30,57,26.0528,84.7428,False,
MPLAD-00120,Jaipur Rural,Rajasthan,Health Sub-Centre,0.82,unit,CTR-0009,2416175.56,2624000.0,2024-01-12,2024-03-16,2024-04-26,2024-09-19,2024-09-23,160,27.0791,76.2488,False,
MPLAD-00121,Warangal,Telangana,Health Sub-Centre,1.42,unit,CTR-0136,4290970.23,4544000.0,2022-08-21,2022-09-08,2022-09-24,2023-06-25,2023-07-14,250,17.8135,78.1178,False,
MPLAD-00122,Jaipur Rural,Rajasthan,Drainage System,2.99,km,CTR-0055,3077428.71,3289000.0,2024-10-02,2024-11-11,2024-11-23,2025-10-23,2025-10-22,351,26.852,76.1987,False,
MPLAD-00123,Madurai,Tamil Nadu,Road Construction,2.92,km,CTR-0175,2844303.49,2482000.0,2022-05-13,2022-08-06,2022-09-14,2023-07-03,2023-07-17,288,11.3514,78.3118,False,
MPLAD-00124,Secunderabad,Telangana,Drainage System,1.06,km,CTR-0131,1335699.36,1166000.0,2023-04-30,2023-07-17,2023-07-23,2023-11-25,2023-11-10,120,17.3674,78.983,True,payment_timing
MPLAD-00125,Varanasi,Uttar Pradesh,Road Construction,3.0,km,CTR-0102,2717435.29,2550000.0,2024-04-18,2024-07-15,2024-07-24,2025-04-20,2025-05-05,285,26.9423,80.85,False,
MPLAD-00126,Secunderabad,Telangana,Drinking Water Supply,1.88,unit,CTR-0200,2315413.56,2256000.0,2022-09-22,2022-12-01,2023-01-07,2023-06-15,2023-06-13,126,17.7314,78.5181,False,
MPLAD-00127,Patna Sahib,Bihar,Community Hall,1.06,unit,CTR-0182,3005749.09,2650000.0,2023-08-05,2023-08-30,2023-09-20,2024-03-01,2024-03-31,167,25.3745,85.225,False,
MPLAD-00128,Kota,Rajasthan,Road Construction,0.92,km,CTR-0165,885601.0,782000.0,2023-11-23,2024-02-18,2024-02-25,2024-05-29,2024-05-25,77,26.4812,76.2485,False,
MPLAD-00129,Pune,Maharashtra,Drinking Water Supply,2.42,unit,CTR-0054,2831330.41,2904000.0,2024-10-16,2025-01-08,2025-01-31,2025-08-01,2025-08-15,158,19.0829,73.2047,False,
MPLAD-00130,Jaipur Rural,Rajasthan,Drinking Water Supply,2.22,unit,CTR-0019,2390737.89,2664000.0,2024-08-09,2024-09-19,2024-10-15,2025-03-19,2025-04-03,136,27.2615,75.6193,False,
